date,city,state,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,condition,year,month,month_name,day_name,temperature_f,heat_index_proxy
2026-01-01,Bengaluru,Karnataka,27.9,67.1,13.1,2.7,Partly Cloudy,2026,1,January,Thursday,82.22,31.26
2026-01-01,Hyderabad,Telangana,31.5,59.1,11.8,2.2,Clear,2026,1,January,Thursday,88.7,34.46
2026-01-01,Chennai,Tamil Nadu,31.3,69.1,15.7,2.5,Cloudy,2026,1,January,Thursday,88.34,34.76
2026-01-01,Pune,Maharashtra,28.8,62.6,7.9,0.9,Sunny,2026,1,January,Thursday,83.84,31.93
2026-01-01,Mumbai,Maharashtra,30.7,84.3,16.6,7.3,Humid,2026,1,January,Thursday,87.26,34.92
2026-01-01,Delhi,Delhi,36.4,45.7,14.6,0.7,Clear,2026,1,January,Thursday,97.52,38.68
2026-01-01,Kolkata,West Bengal,31.3,75.6,8.6,14.5,Rain,2026,1,January,Thursday,88.34,35.08
2026-01-01,Ahmedabad,Gujarat,33.8,46.1,20.0,0.3,Sunny,2026,1,January,Thursday,92.84,36.1
2026-01-01,Jaipur,Rajasthan,36.2,35.9,12.9,0.1,Clear,2026,1,January,Thursday,97.16,38.0
2026-01-01,Kochi,Kerala,30.2,83.0,10.0,14.6,Rain,2026,1,January,Thursday,86.36,34.35
2026-01-02,Bengaluru,Karnataka,28.5,69.2,14.0,8.8,Partly Cloudy,2026,1,January,Friday,83.3,31.96
2026-01-02,Hyderabad,Telangana,30.5,62.0,14.7,3.4,Clear,2026,1,January,Friday,86.9,33.6
2026-01-02,Chennai,Tamil Nadu,34.2,67.0,21.2,2.8,Cloudy,2026,1,January,Friday,93.56,37.55
2026-01-02,Pune,Maharashtra,28.9,61.6,8.1,1.4,Sunny,2026,1,January,Friday,84.02,31.98
2026-01-02,Mumbai,Maharashtra,28.5,80.4,17.7,9.5,Humid,2026,1,January,Friday,83.3,32.52
2026-01-02,Delhi,Delhi,36.1,49.4,13.6,1.2,Clear,2026,1,January,Friday,96.98,38.57
2026-01-02,Kolkata,West Bengal,33.1,80.4,11.7,16.3,Rain,2026,1,January,Friday,91.58,37.12
2026-01-02,Ahmedabad,Gujarat,35.1,47.3,16.6,0.4,Sunny,2026,1,January,Friday,95.18,37.47
2026-01-02,Jaipur,Rajasthan,36.7,48.9,17.4,0.1,Clear,2026,1,January,Friday,98.06,39.15
2026-01-02,Kochi,Kerala,29.1,86.4,8.2,12.3,Rain,2026,1,January,Friday,84.38,33.42
2026-01-03,Bengaluru,Karnataka,27.5,66.6,9.6,9.4,Partly Cloudy,2026,1,January,Saturday,81.5,30.83
2026-01-03,Hyderabad,Telangana,30.1,57.5,13.8,3.4,Clear,2026,1,January,Saturday,86.18,32.98
2026-01-03,Chennai,Tamil Nadu,31.7,69.3,18.6,9.4,Cloudy,2026,1,January,Saturday,89.06,35.16
2026-01-03,Pune,Maharashtra,30.6,63.1,8.9,1.3,Sunny,2026,1,January,Saturday,87.08,33.76
2026-01-03,Mumbai,Maharashtra,29.8,83.4,18.8,4.3,Humid,2026,1,January,Saturday,85.64,33.97
2026-01-03,Delhi,Delhi,33.4,48.2,10.8,1.0,Clear,2026,1,January,Saturday,92.12,35.81
2026-01-03,Kolkata,West Bengal,33.3,77.7,6.7,8.8,Rain,2026,1,January,Saturday,91.94,37.18
2026-01-03,Ahmedabad,Gujarat,34.8,45.9,21.9,0.4,Sunny,2026,1,January,Saturday,94.64,37.1
2026-01-03,Jaipur,Rajasthan,36.3,43.6,16.6,0.1,Clear,2026,1,January,Saturday,97.34,38.48
2026-01-03,Kochi,Kerala,31.3,87.9,13.3,18.6,Rain,2026,1,January,Saturday,88.34,35.7
2026-01-04,Bengaluru,Karnataka,28.5,70.6,9.8,8.1,Partly Cloudy,2026,1,January,Sunday,83.3,32.03
2026-01-04,Hyderabad,Telangana,29.9,54.9,12.8,1.1,Clear,2026,1,January,Sunday,85.82,32.64
