date,city,state,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,condition
2026-01-01,Bengaluru,Karnataka,27.9,67.1,13.1,2.7,Partly Cloudy
2026-01-01,Hyderabad,Telangana,31.5,59.1,11.8,2.2,Clear
2026-01-01,Chennai,Tamil Nadu,31.3,69.1,15.7,2.5,Cloudy
2026-01-01,Pune,Maharashtra,28.8,62.6,7.9,0.9,Sunny
2026-01-01,Mumbai,Maharashtra,30.7,84.3,16.6,7.3,Humid
2026-01-01,Delhi,Delhi,36.4,45.7,14.6,0.7,Clear
2026-01-01,Kolkata,West Bengal,31.3,75.6,8.6,14.5,Rain
2026-01-01,Ahmedabad,Gujarat,33.8,46.1,20.0,0.3,Sunny
2026-01-01,Jaipur,Rajasthan,36.2,35.9,12.9,0.1,Clear
2026-01-01,Kochi,Kerala,30.2,83.0,10.0,14.6,Rain
2026-01-02,Bengaluru,Karnataka,28.5,69.2,14.0,8.8,Partly Cloudy
2026-01-02,Hyderabad,Telangana,30.5,62.0,14.7,3.4,Clear
2026-01-02,Chennai,Tamil Nadu,34.2,67.0,21.2,2.8,Cloudy
2026-01-02,Pune,Maharashtra,28.9,61.6,8.1,1.4,Sunny
2026-01-02,Mumbai,Maharashtra,28.5,80.4,17.7,9.5,Humid
2026-01-02,Delhi,Delhi,36.1,49.4,13.6,1.2,Clear
2026-01-02,Kolkata,West Bengal,33.1,80.4,11.7,16.3,Rain
2026-01-02,Ahmedabad,Gujarat,35.1,47.3,16.6,0.4,Sunny
2026-01-02,Jaipur,Rajasthan,36.7,48.9,17.4,0.1,Clear
2026-01-02,Kochi,Kerala,29.1,86.4,8.2,12.3,Rain
2026-01-03,Bengaluru,Karnataka,27.5,66.6,9.6,9.4,Partly Cloudy
2026-01-03,Hyderabad,Telangana,30.1,57.5,13.8,3.4,Clear
2026-01-03,Chennai,Tamil Nadu,31.7,69.3,18.6,9.4,Cloudy
2026-01-03,Pune,Maharashtra,30.6,63.1,8.9,1.3,Sunny
2026-01-03,Mumbai,Maharashtra,29.8,83.4,18.8,4.3,Humid
2026-01-03,Delhi,Delhi,33.4,48.2,10.8,1.0,Clear
2026-01-03,Kolkata,West Bengal,33.3,77.7,6.7,8.8,Rain
2026-01-03,Ahmedabad,Gujarat,34.8,45.9,21.9,0.4,Sunny
2026-01-03,Jaipur,Rajasthan,36.3,43.6,16.6,0.1,Clear
2026-01-03,Kochi,Kerala,31.3,87.9,13.3,18.6,Rain
2026-01-04,Bengaluru,Karnataka,28.5,70.6,9.8,8.1,Partly Cloudy
2026-01-04,Hyderabad,Telangana,29.9,54.9,12.8,1.1,Clear
2026-01-04,Chennai,Tamil Nadu,32.9,63.7,15.3,3.1,Cloudy
2026-01-04,Pune,Maharashtra,27.8,56.1,7.4,2.3,Sunny
2026-01-04,Mumbai,Maharashtra,30.9,73.1,14.6,6.7,Humid
2026-01-04,Delhi,Delhi,34.2,46.7,14.5,1.8,Clear
2026-01-04,Kolkata,West Bengal,32.9,80.8,7.2,4.3,Rain
2026-01-04,Ahmedabad,Gujarat,34.8,41.7,21.2,0.2,Sunny
2026-01-04,Jaipur,Rajasthan,34.4,48.3,15.7,0.1,Clear
2026-01-04,Kochi,Kerala,30.0,77.4,11.3,21.9,Rain
2026-01-05,Bengaluru,Karnataka,30.4,74.7,10.8,5.5,Partly Cloudy
2026-01-05,Hyderabad,Telangana,30.5,64.8,14.7,3.1,Clear
2026-01-05,Chennai,Tamil Nadu,32.9,66.1,20.2,10.3,Cloudy
2026-01-05,Pune,Maharashtra,30.9,62.3,12.1,2.0,Sunny
2026-01-05,Mumbai,Maharashtra,29.5,78.2,15.2,2.8,Humid
2026-01-05,Delhi,Delhi,33.0,48.9,11.0,1.3,Clear
2026-01-05,Kolkata,West Bengal,34.9,80.3,12.3,16.9,Rain
2026-01-05,Ahmedabad,Gujarat,37.3,43.1,17.5,0.2,Sunny
2026-01-05,Jaipur,Rajasthan,35.2,37.9,16.2,0.3,Clear
